name;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;min_income;area
Budget price but 5 star value near new skytrain,Rae And Charlie,Bang Sue,13.83148,100.52151,Entire home/apt,1000.0,3.0,7.0,7.0,146.0,3000.0,North Bangkok;;;;;;;;;;;;
Jade House overlooking Pool near new skytrain,Rae And Charlie,Bang Sue,13.83148,100.52307,Entire home/apt,1200.0,3.0,21.0,7.0,124.0,3600.0,North Bangkok;;;;;;;;;;;;
comfortable in Bangkok Near MRT,Hab,Din Daeng,13.77126,100.57088,Private room,1200.0,2.0,0.0,1.0,365.0,2400.0,Central Bangkok;;;;;;;;;;;;
3.Cool Chic apartment walk 5 min BTS Sathon,Wimonpak,Sathon,13.71628,100.51238,Entire home/apt,950.0,1.0,109.0,41.0,358.0,950.0,South Bangkok;;;;;;;;;;;;
95 sqm. 2 br. 1-5 people. Next to thonglor bts,Notee,Khlong Toei,13.72393,100.57647,Entire home/apt,3300.0,5.0,26.0,3.0,13.0,16500.0,Central Bangkok;;;;;;;;;;;;
Superior Double Room Near Airport,Anis,Suanluang,13.73789,100.64271,Private room,850.0,1.0,8.0,10.0,365.0,850.0,South Bangkok;;;;;;;;;;;;
Superior Twin Room Near Airport,Anis,Suanluang,13.73613,100.64319,Private room,1050.0,1.0,0.0,10.0,365.0,1050.0,South Bangkok;;;;;;;;;;;;
Studio in Beung Kum,Anis,Bueng Kum,13.78327,100.67124,Private room,700.0,1.0,3.0,10.0,365.0,700.0,East Bangkok;;;;;;;;;;;;
Superior Double Room Near Yanhen Hospital,Anis,Bang Phlat,13.80698,100.5121,Private room,1050.0,1.0,0.0,10.0,365.0,1050.0,West Bangkok;;;;;;;;;;;;
Superior Twin Room Near Yanhee Hospital,Anis,Bang Phlat,13.80657,100.51192,Private room,1050.0,1.0,0.0,10.0,365.0,1050.0,West Bangkok;;;;;;;;;;;;
Superior Db Rm Near Yanhee Hospital,Anis,Bang Phlat,13.80685,100.5125,Private room,1050.0,1.0,0.0,10.0,365.0,1050.0,West Bangkok;;;;;;;;;;;;
Sathorn Apt with urban vibe,Jay,Sathon,13.71663,100.52864,Entire home/apt,868.0,4.0,97.0,1.0,330.0,3472.0,South Bangkok;;;;;;;;;;;;
วรภาดา น้อยพันธ์,Catroom,Bang Rak,13.7318,100.52351,Private room,980.0,1.0,0.0,1.0,365.0,980.0,Central Bangkok;;;;;;;;;;;;
New Studio 2KM to BTS- Sukhumvit 77,Yair,Suanluang,13.72347,100.61812,Entire home/apt,1004.0,10.0,6.0,10.0,365.0,10040.0,South Bangkok;;;;;;;;;;;;
Thai house overlooking pond & lotus,Jeremy,Nong Chok,13.77624,100.83931,Entire home/apt,3463.0,2.0,1.0,2.0,363.0,6926.0,East Bangkok;;;;;;;;;;;;
✩Vibrant street✩Cozy n Cool near MRT Silom/center✩,Evan,Sathon,13.72065,100.54713,Entire home/apt,850.0,1.0,278.0,37.0,293.0,850.0,South Bangkok;;;;;;;;;;;;
Home Sweet Home For Your Family near new skytrain,Rae And Charlie,Bang Sue,13.83235,100.5228,Entire home/apt,1500.0,3.0,37.0,7.0,107.0,4500.0,North Bangkok;;;;;;;;;;;;
